,DEGREE,EDGE_PO_BIN,EDGE_PO_CLIENT,EDGE_PO_NONE,EDGE_PO_READ,EDGE_PO_RaW,EDGE_PO_SERVER,EDGE_PO_WRITE,EXTERNAL,GID_STS,HIDE,NEIGH_DEGREE,NEIGH_DIST,NEIGH_FILE,NEIGH_PROCESS,NEIGH_SOCKET,NEIGH_WEB_CONN,NODE_FILE,NODE_PROCESS,NODE_SOCKET,SHOW,SUSPICIOUS,UID_STS,VERSION,WEB_CONN
1510,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,17.33644802198002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,16.0,0.0
1511,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1512,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,113,24.53900042891567,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0
1513,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,13,17.26679091854428,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,79.0,0.0
1514,107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0
1515,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,22.020942026145548,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1516,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,30,17.601763470948498,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1517,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,23,17.18417338421994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,26.0,0.0
1518,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,19.355946184021658,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1519,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,132,24.554734780675165,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1520,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,221,18.60074731016508,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,4.0,0.0
1521,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,113,18.502346837836562,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,6.0,0.0
1522,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,14,16.086797741345823,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,4.0,0.0
1523,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,72,16.62575067367679,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1524,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,132,24.58479624197758,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1525,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,8,17.92202411010651,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,62.0,0.0
1526,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,113,18.238211476249692,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0
1527,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.94548724670179,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1528,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,15.912582762088249,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,36.0,0.0
1529,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,17.33644802198002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,8.0,0.0
1530,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,18.81127964894902,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1531,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,17.39057471639558,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,6.0,0.0
1532,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0
1533,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.428202040097673,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1534,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.109242136592115,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1535,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,44,16.64496738454717,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,14.0,0.0
1536,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,18.94353081738632,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1537,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,58,17.213606234308,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,30.0,0.0
1538,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8,18.284606750226928,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1539,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,4.0,0.0
1540,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,117,19.44876590977159,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0
1541,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.37077993699962,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1542,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,221,15.847662752435273,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,38.0,0.0
1543,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,113,18.35889964429815,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,2.0,0.0
1544,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,221,18.250073070948442,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1545,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,132,24.593528393205954,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1546,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,20.680129785811193,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1547,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,29,17.839803045084135,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1548,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,43,17.818453958538928,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,16.0,0.0
1549,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,32,20.077049701082792,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0
1550,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,30.0,0.0
1551,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,102,24.597963659542422,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,4.0,0.0
1552,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,1.0,0.0,0.0
1553,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,19.378727506958736,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,6.0,0.0
1554,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5,23.55908569691023,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1555,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,29,17.688392488667915,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1556,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,17.834819959351684,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,0.0
1557,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,349,21.32643667352488,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0
1558,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,58,17.572674609464936,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1559,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,16.51252070801721,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0
1560,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,17.64142040106901,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,6.0,0.0
1561,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,132,24.570306242894127,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1562,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,211,18.003521434432262,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0
1563,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,107,25.686802490318467,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0
