,EDGE_TYPE,EXTERNAL,GID_STS,HIDE,NEIGH_TYPE,NEIGH_WEB_CONN,NODE_TYPE,SHOW,SUSPICIOUS,TIMESTAMP,UID_STS,UUID,VERSION,WEB_CONN
108,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
109,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
110,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
111,1,1,1,0,3,1,1,1,1,1498934400001893863,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:b00afb7c-5e8c-11e7-92ed-080027d14c66,0,1
112,1,1,1,0,3,1,1,1,1,1498934400001984265,1,a4b43224-b384-420d-9a4c-2ceb1f436529:b00af93f-5e8c-11e7-a270-080027d14c67,0,1
113,1,1,1,0,3,1,1,1,1,1498934405032867687,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:b30a93ae-5e8c-11e7-92ee-080027d14c66,0,1
114,1,1,1,0,3,1,1,1,1,1498934405032867687,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:b30a93ae-5e8c-11e7-92ee-080027d14c66,0,1
115,1,1,1,0,3,1,1,1,1,1498934405032867687,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:b30a93ae-5e8c-11e7-92ee-080027d14c66,0,1
116,1,1,1,0,3,1,1,1,1,1498934405032867687,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:b30a93ae-5e8c-11e7-92ee-080027d14c66,0,1
117,1,1,1,0,3,1,1,1,1,1498934405032867687,1,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:b30a93ae-5e8c-11e7-92ee-080027d14c66,0,1
118,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
119,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
120,3,1,1,0,3,1,1,1,0,1498934404660850716,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2d1bb34-5e8c-11e7-a270-080027d14c67,0,1
121,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
122,3,1,1,0,3,1,1,1,0,1498934404660850716,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2d1bb34-5e8c-11e7-a270-080027d14c67,0,1
123,3,1,0,0,3,1,1,1,0,1498934404795014973,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2e78af2-5e8c-11e7-a270-080027d14c67,0,1
124,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
125,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
126,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
127,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
128,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
129,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
